location_name,watershed_name,rainfall(mm),Lat_DD,Lon_DD,date,year,UTM_Easting,UTM_Northing,UTM_Zone
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-08,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-09,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,8.0,-7.011333333333333,110.13580555555556,2023-11-10,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-11,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-12,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-13,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,1.0,-7.011333333333333,110.13580555555556,2023-11-14,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-15,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-17,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-18,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-19,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-20,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,1.0,-7.011333333333333,110.13580555555556,2023-11-21,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-22,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,15.0,-7.011333333333333,110.13580555555556,2023-11-23,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,10.0,-7.011333333333333,110.13580555555556,2023-11-24,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,2.0,-7.011333333333333,110.13580555555556,2023-11-25,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-26,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-27,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,1.0,-7.011333333333333,110.13580555555556,2023-11-28,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-11-29,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,10.0,-7.011333333333333,110.13580555555556,2023-11-30,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,6.0,-7.011333333333333,110.13580555555556,2023-12-02,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,18.0,-7.011333333333333,110.13580555555556,2023-12-03,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,4.0,-7.011333333333333,110.13580555555556,2023-12-04,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,2.0,-7.011333333333333,110.13580555555556,2023-12-05,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-06,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-07,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,6.0,-7.011333333333333,110.13580555555556,2023-12-08,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,0.0,-7.011333333333333,110.13580555555556,2023-12-09,2023,404547.6055736138,9224910.398488997,49S
Kedung Asem,Kuto,1.0,-7.011333333333333,110.13580555555556,2023-12-10,2023,404547.6055736138,9224910.398488997,49S
